Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,E[M],sigmaM,DN,Source
495,3,31,0,0,0.0,37.5,121.5,5.22,0.44,133,EPRI
827,0,0,0,0,0.0,51.1,12.8,5.25,0.5,192,EPRI
973,9,0,0,0,0.0,32.2,46.3,5.53,0.5,81,EPRI
999,10,0,0,0,0.0,31.8,119.9,5.25,0.5,132,EPRI
1058,12,8,0,0,0.0,34.3,44.7,5.62,0.47,81,EPRI
1062,2,8,0,0,0.0,49.0,12.0,5.81,0.5,192,EPRI
1067,11,0,0,0,0.0,23.6,116.5,6.12,0.32,125,EPRI
1068,3,18,0,0,0.0,28.7,36.75,6.9,0.47,81,EPRI
1088,5,12,0,0,0.0,51.1,13.1,5.25,0.5,192,EPRI
1112,0,0,0,0,0.0,48.417,8.833,5.81,0.5,195,EPRI
1128,0,0,0,0,0.0,47.483,7.567,5.81,0.5,195,EPRI
1130,2,27,0,0,0.0,33.6,45.7,6.09,0.47,81,EPRI
1185,4,15,0,0,0.0,53.22,-0.5,5.53,0.5,187,EPRI
1194,3,0,0,0,0.0,32.0,44.3,4.67,0.44,81,EPRI
1247,2,20,0,0,0.0,52.0,-6.0,5.28,0.32,197,EPRI
1275,9,11,0,0,0.0,51.0,-2.5,5.49,0.44,196,EPRI
1279,9,2,0,0,0.0,49.0,8.0,5.81,0.5,195,EPRI
1344,0,0,0,0,0.0,38.9,-8.85,5.96,0.5,199,EPRI
1346,0,0,0,0,0.0,50.8,12.2,5.39,0.5,192,EPRI
1366,5,24,0,0,0.0,50.8,12.2,5.25,0.5,192,EPRI
1382,5,21,0,0,0.0,51.5,2.5,5.41,0.44,187,EPRI
1407,11,0,0,0,0.0,31.2,112.6,5.25,0.5,130,EPRI
1430,0,0,0,0,0.0,32.2,46.4,5.48,0.47,81,EPRI
1445,2,14,0,0,0.0,50.0,6.3,5.81,0.5,196,EPRI
1445,12,12,0,0,0.0,24.5,117.6,5.65,0.44,125,EPRI
1457,0,0,0,0,0.0,31.9,46.9,5.7,0.47,81,EPRI
1477,8,6,0,0,0.0,45.8,3.0,5.51,0.32,195,EPRI
1490,3,1,0,0,0.0,45.85,3.1,5.85,0.32,195,EPRI
1523,8,14,0,0,0.0,29.9,121.7,5.25,0.5,125,EPRI
1528,3,12,0,0,0.0,39.7,-8.9,5.25,0.5,199,EPRI
1531,1,26,0,0,0.0,38.95,-9.0,7.04,0.54,199,EPRI
1548,9,13,0,0,0.0,38.0,121.0,6.1,0.32,133,EPRI
1553,8,17,0,0,0.0,51.583,13.0,5.39,0.5,192,EPRI
1556,1,0,0,0,0.0,29.4,113.1,5.15,0.32,130,EPRI
1558,6,0,0,0,0.0,23.4,111.5,4.81,0.32,129,EPRI
1568,0,0,0,0,0.0,41.5,-72.5,5.25,0.5,218,EPRI
1574,0,0,0,0,0.0,27.6,119.1,5.25,0.5,125,EPRI
1574,0,0,0,0,0.0,41.5,-72.5,5.25,0.5,218,EPRI
1574,8,19,0,0,0.0,26.1,119.3,5.83,0.32,125,EPRI
1575,2,26,0,0,0.0,53.0,-1.5,4.9,0.44,187,EPRI
1580,4,6,0,0,0.0,50.9,1.7,6.67,0.32,187,EPRI
1584,0,0,0,0,0.0,41.5,-72.5,5.25,0.5,218,EPRI
1585,3,6,0,0,0.0,31.2,117.7,5.28,0.32,130,EPRI
1592,0,0,0,0,0.0,41.5,-72.6,5.25,0.5,222,EPRI
1600,9,29,0,0,0.0,23.5,117.0,6.84,0.32,125,EPRI
1604,12,29,0,0,0.0,25.0,119.5,7.65,0.32,127,EPRI
1605,7,13,0,0,0.0,19.9,110.5,7.47,0.32,126,EPRI
1611,9,9,0,0,0.0,21.5,111.3,5.25,0.5,129,EPRI
1615,0,0,0,0,0.0,5.1,-1.3,5.81,0.5,100,EPRI
1618,2,18,0,0,0.0,16.7,-3.2,5.37,0.44,99,EPRI
1618,5,26,0,0,0.0,18.9,72.9,6.41,0.51,106,EPRI
1624,2,10,0,0,0.0,32.4,119.5,5.73,0.32,132,EPRI
1624,9,1,0,0,0.0,31.2,121.4,4.65,0.32,132,EPRI
1624,10,0,0,0,0.0,33.2,107.5,5.25,0.5,131,EPRI
1626,5,14,0,0,0.0,66.0,35.5,5.27,0.44,173,EPRI
1631,8,14,0,0,0.0,29.3,111.7,6.38,0.32,130,EPRI
1635,10,26,0,0,0.0,33.2,107.5,5.25,0.5,131,EPRI
1636,0,0,0,0,0.0,33.1,107.0,5.25,0.5,131,EPRI
1636,12,18,0,0,0.0,5.1,-2.2,6.19,0.32,100,EPRI
1638,6,11,0,0,0.0,42.5,-69.0,5.81,0.5,218,EPRI
1641,11,26,0,0,0.0,23.6,116.5,5.47,0.44,125,EPRI
1651,2,15,0,0,0.0,26.2,116.6,5.16,0.32,125,EPRI
1655,3,29,0,0,0.0,48.5,9.067,5.25,0.5,195,EPRI
1657,2,15,0,0,0.0,47.1,0.6,5.53,0.5,196,EPRI
1661,2,10,0,0,0.0,45.5,-73.0,5.25,0.5,227,EPRI
1663,2,5,0,0,0.0,47.6,-70.1,6.72,0.52,227,EPRI
1668,7,25,0,0,0.0,34.3,118.5,7.87,0.32,132,EPRI
1679,12,16,0,0,0.0,31.4,119.5,4.98,0.5,132,EPRI
1682,5,12,0,0,0.0,47.9,6.5,6.55,0.32,195,EPRI
1690,10,7,0,0,0.0,53.0,-3.0,4.77,0.44,185,EPRI
1692,9,18,0,0,0.0,50.7,4.333,5.08,0.32,187,EPRI
1710,4,16,0,0,0.0,27.8,111.3,5.25,0.5,129,EPRI
